课程号,课程名称
0100002,波动力学
0100003,多体系统动力学
0100008,飞行器非线性控制方法
0100015,飞行器总体分析与设计
0100023,高等化学反应动力学
0100041,计算固体力学
0100042,计算流体力学基础
0100046,聚合物特性与装药结构完整性
0100047,空间环境与试验导论
0100050,连续介质力学A
0100058,细观力学
0100064,现代生物力学
0100065,现代实验力学
0100067,叶轮机内部流动环境与液压设计
0100069,有限元方法
0100075,振动力学
0100078,发射理论及应用
0100081,飞行器优化设计方法与实践
0100097,微纳尺度测量技术
0100098,水波动力学
0100099,微流控原理与应用
0100102,凸优化与自主轨迹规划
0100104,飞行器结构优化设计
0100105,信息融合与导航技术
0100107,航天器自主导航原理与应用
0100111,飞行器制导控制系统现代设计方法
0100112,先进航天测试技术
0100114,先进空天动力技术
0100115,飞行器自主控制与精确制导技术
0100116,行星大气进入动力学与控制
0100119,发射气体动力学
0100123,导航估计技术与应用
0100125,飞行器最优控制
0100131,飞行器动力学建模辨识与应用实践
0100134,航天器抵近任务轨道设计与可视化实践
0100135,高等流体力学
0100138,热流固耦合数值分析方法与实践
0100140,现代等离子体诊断
0100144,航天工程科技前沿
0100145,飞行器力学实验进展
0100146,多天体轨道动力学与控制
0100147,火箭导弹武器发射系统数值仿真
0100148,航空航天复合材料
0101011,（英）燃烧不稳定性概论
0101015,（英）流体力学
0101016,（英）航天器姿态分析力学与非线性控制
0101017,（英）网络系统的协同控制及其应用
0101018,（英）现代飞行器布局设计
0101019,（英）无人智群导论
0101020,（英）计算流体力学导论
0101021,（英）微纳尺度测量技术
0200001,安全生产技术
0200003,爆炸安全理论
0200009,弹塑性波与冲击动力学
0200020,非线性动力学数值仿真
0200030,燃烧爆炸及消防安全研究进展
0200035,机器人系统设计与应用
0200036,计算物理学A
0200038,可靠性数据分析
0200045,群智能系统网络与协同技术
0200046,燃烧与爆炸测试基础
0200048,燃烧与爆炸问题建模
0200053,数值模拟专题
0200056,损伤与断裂
0200058,微机电系统
0200065,武器弹药智能设计
0200066,武器系统测试技术
0200071,系统安全分析与评价技术
0200072,系统安全评估原理
0200075,现代传感与测试技术
0200082,消防工程
0200110,信息感知与对抗技术
0200117,目标易损性与毁伤评估
0200118,射频固态电路设计与应用
0200119,武器系统可靠性分析
